file_path,title,description,link,alt_text,section_id,note
images/pin273.png,"Free Roaming Chickens | Everyday Life in St Thomas","you stop noticing the chickens after a few days in the virgin islands, until a visitor points at one mid sentence and you remember how unusual it actually looks. this rooster and hen wandering past a fishing supply shop, palm trees swaying overhead, is just an ordinary tuesday here. #stthomas #usvi #islandlife",,"rooster and hen walking on grass outside a blue door fishing supply shop with palm trees, St Thomas",,
images/pin274.png,"Rooster and Hen by the Marina | St Thomas Wildlife","a closer look at the same pair, pecking around near the marina steps like they own the place, which honestly they kind of do. free roaming chickens are practically part of the landscape in the caribbean and i never get tired of finding them somewhere unexpected. #stthomas #usvi #caribbeanwildlife",,"rooster and hen near marina shop steps and black railing, St Thomas",,
images/pin275.png,"Beach View Through Sea Grape Trees | St Thomas USVI","framed by sea grape leaves, this is the kind of beach moment you almost walk past without noticing, sand scattered with dried leaves, a boat anchored in turquoise water, hills rolling out toward the horizon. some of the best caribbean views aren't the wide open ones, they're the ones you catch through a gap in the trees. #stthomas #usvi #caribbeanbeaches",,"beach and turquoise water framed by sea grape tree branches with anchored boat, St Thomas",,
images/pin276.png,"Sea Birds on Rocky Outcrop | Caribbean Coastal Wildlife","a small rock formation just offshore, claimed entirely by cormorants drying their wings in the sun. these little wildlife moments are easy to miss if you're focused on the water itself, but they're some of my favorite parts of island mornings. #usvi #stthomas #caribbeanwildlife",,"cormorants perched on a rocky outcrop in turquoise Caribbean water",,
images/pin277.png,"Marlin Sculpture Marina Entrance | St Thomas Sportfishing","you know you're at a real sportfishing marina when there's a giant blue marlin sculpture arched over the entrance like a gateway. sailboats and sportfishing yachts lined up below it, dock stretching out into blue sky, this felt like the unofficial welcome sign of the harbor. #stthomas #usvi #caribbeanmarina",,"blue marlin sculpture arch over marina dock with sportfishing yachts, St Thomas",,
images/pin278.png,"Cormorants on the Rocks | Wider View of the Reef Outcrop","same little rock island, different angle, same group of cormorants holding their spots like they've got reservations. the water out here shifts from pale turquoise to deep blue in just a few feet, which never stops being satisfying to look at. #usvi #stthomas #caribbeanocean",,"wide view of cormorants on a rocky outcrop with turquoise to deep blue water gradient",,
images/pin279.png,"Lionfish Derby Shirt at the Marina | St Thomas St John Water Island","standing at the dock in a lionfish derby shirt, marlin sculpture looming overhead, sportfishing boats lined up behind. events like this one across st thomas, st john, and water island turn a real conservation problem into a community day on the water, and i love that the shirts make it look this good. #lionfishderby #stthomas #usvi",,"person wearing St Thomas St John Water Island Lionfish Derby shirt standing on marina dock under marlin sculpture",,
images/pin280.png,"Quiet Beach and Boat | St Thomas Coastal Calm","some days the whole point is just this, a small boat sitting still on flat turquoise water, green hills rolling along the coast, leaves scattered at your feet. no agenda, just a quiet beach moment in the us virgin islands. #stthomas #usvi #caribbeanbeaches",,"small boat on calm turquoise water with green coastal hills, viewed through beach leaves, St Thomas",,
images/pin281.png,"Hundreds of Dollar Bills on a Bar Ceiling | USVI Tradition","step back and the scale of it hits you, hundreds of dollar bills layered across the ceiling beams, each one someone's tiny souvenir of a night here. names, dates, inside jokes scrawled in marker, it's a strange kind of community wall built one dollar at a time. #usvi #stthomas #caribbeanbar",,"wide shot of hundreds of signed dollar bills covering wooden ceiling beams at a bar in USVI",,
images/pin282.png,"Lionfish Spines Removed | Derby Cleaning Process","this pile of spines is the part nobody talks about when they talk about eating lionfish. removed carefully, laid out on a cutting board, each one still capable of delivering a painful sting even separated from the fish. it's a small reminder of how much respect this invasive species still demands, even after it's caught. #lionfishderby #stthomas #usvi",,"pile of removed venomous lionfish spines on a cutting board surface",,
