file_path,title,description,link,alt_text,section_id,note
images/pin313.png,Spotting Pizza Pi Across the Water, USVI,"you hear about it before you see it, the yellow and turquoise hull bobbing in a quiet #USVI anchorage, dinghies and sailboats gathered loosely around like it's the neighborhood hangout. it's the kind of stop you plan a whole boat day around, not because the pizza is fancy, but because eating it in the middle of the ocean never stops feeling a little absurd and a little perfect. #unitedstatesvirginislands #pizzapi #boatdayusvi",,Pizza Pi floating pizza boat anchored among other sailboats in clear Caribbean water,,
images/pin314.png,Golden Hour Over the USVI,"the sun does this thing right before it sets in the #USVI where it stops looking like a light source and starts looking like a held breath. silhouetted hills, a glassy stretch of water catching every bit of glow it can. i didn't plan to stop and watch it, but some moments insist on being noticed. #usvirginislands #caribbeansunset #goldenhourisland",,Sun setting over calm water with silhouetted island hills in the United States Virgin Islands,,
images/pin315.png,A Quiet Stone Seawall, Caneel Bay,"i'm a sucker for the in between spots, the low tide line where sand meets a rough stone wall meets sea grape leaves catching the early light. there's no name for this stretch of #USVI coast that i know of, and maybe that's the appeal. some beaches don't need a brand to be beautiful. #usvirginislands #hiddenbeachusvi #caribbeancoastline",,Stone seawall along a quiet sandy beach lined with sea grape trees in the United States Virgin Islands,,
images/pin316.png,Empty Shoreline, USVI Morning Light,"there's a stretch of #USVI beach i keep coming back to in my photos because it's so quietly perfect, palm leaning just enough, hillside thick with green, not a single footprint disrupting the sand. mornings like this remind me why people give up entire lives to chase this kind of stillness. #unitedstatesvirginislands #emptybeach #caribbeanmorning",,Empty sandy beach with palm trees and lush green hillside in the United States Virgin Islands,,
images/pin317.png,Pizza Pi at Anchor, USVI,"side profile, full glory, yellow hull catching the sun against a sky so blue it almost looks staged. the crew stretching up to grab something off the roof, completely unbothered by their own floating fame. this is the #USVI version of a food truck line, except your line is a dinghy ride. #usvirginislands #pizzapiboat #caribbeanfoodie",,Side view of the yellow and turquoise Pizza Pi boat anchored in the United States Virgin Islands,,
images/pin318.png,Inside the Pizza Pi Galley, USVI,"the actual workspace is smaller than you'd think, a yellow door, a few warning signs about not feeding the fish, pizza boxes stacked behind plexiglass. i love seeing the unglamorous machinery behind a #USVI institution everyone romanticizes from a distance. someone's making a living out here, one pie at a time. #usvirginislands #pizzapikitchen #islandbusiness",,Yellow pizza boat doorway with signage and supplies aboard Pizza Pi in the British Virgin Islands,,
images/pin319.png,Pizza Pi Among the Sailboats, USVI,"wider shot, same boat, different mood. surrounded by a small fleet of sailboats anchored in a #USVI bay, pizza pi looks less like a novelty and more like part of the actual ecosystem out here, which i think is the truest compliment you can give it. #usvirginislands #sailboatanchorage #caribbeanboatculture",,Pizza Pi boat anchored among several sailboats in a calm US Virgin Islands bay,,
images/pin320.png,A Quiet Beach House, Caneel Bay, USVI,"half hidden behind two leaning palms and a thicket of sea grape, this little structure looks like it's been swallowed by the island on purpose. driftwood tangled in the sand out front like it washed up mid story. there's a stillness to abandoned looking corners of the #USVI that feels almost private to witness. #usvirginislands #hiddenusvi #islandarchitecture",,Small building partially hidden by palm trees and driftwood on a beach in the US Virgin Islands,,
images/pin321.png,The Lone Chair, USVI Shoreline,"someone left a chair at the edge of the water and walked away, and somehow that small abandoned detail says more about #USVI island time than any photo of a sunset could. half submerged, facing the sea grape wall, waiting for someone who may or may not come back for it. #usvirginislands #beachchair #caribbeansolitude",,Empty beach chair standing in shallow water along a lush green shoreline in the US Virgin Islands,,
images/pin322.png,Closer to the Chair, USVI,"i circled back for a second look at this same chair because something about its posture, sturdy, patient, half in the tide, felt worth a closer frame. there's a metaphor in here somewhere about staying put while everything around you keeps moving, but mostly i just liked the light. #usvirginislands #stillnessintravel #caribbeanbeachdays",,Close up of an empty beach chair sitting in shallow tide water near green shrubs in the US Virgin Islands,,
