file_path,title,description,link,alt_text,section_id,note
images/pin431.png,"Small Rocky Island St John Waters","this tiny rock and scrub island barely qualifies as land, just enough green to hold on against the waves breaking around it. #USVI waters are full of these forgotten formations, too small to name on most maps but impossible to ignore once you're passing by. i think the smallest islands are often the most interesting ones.",,"Small rocky uninhabited island with sparse vegetation surrounded by blue water near St John",,
images/pin432.png,"Hillside Villas Above Rocky Coast","white villas with red tile roofs climbed a rocky, cactus covered hillside above water so teal it looked lit from within. #USVI hillside real estate does not do subtle, and honestly the drama of that landscape earns it. every time I see a cliffside villa like this I start mentally redecorating a life I don't have.",,"White villas with red roofs on a rocky cactus covered hillside above teal water in the US Virgin Islands",,
images/pin433.png,"Beach Resort Palm Trees From Water","from the water, the beach resort unfolded in layers, sand and umbrellas giving way to palms and then green hills rising behind everything. #USVI beachfront resorts know exactly how to use their backdrop, and this one earns every bit of the view.",,"Beach resort with palm trees, umbrellas, and hillside homes viewed from the water in the US Virgin Islands",,
images/pin434.png,"Resort Beach Buoy Line Wide View","the swim line stretched almost the whole width of the bay, tiny white buoys marking the boundary between resort and open water. #USVI beach resorts balance safety and access in a way that somehow doesn't feel restrictive, just quietly organized against a backdrop of palm trees and hillside homes.",,"Line of white buoys marking a swim boundary in front of a beach resort with palm trees and hillside homes",,
images/pin435.png,"Beachfront Resort Hillside Panorama","the widest view yet, resort buildings tucked beneath a hill covered in houses that seemed to multiply the higher up you looked. #StThomas hillside development has this layered quality, resort at the water's edge, private homes climbing steadily toward the sky. i think this might be my favorite kind of #USVI panorama.",,"Wide panoramic view of a beachfront resort below a hillside covered in homes in St Thomas",,
images/pin436.png,"Resort Beach Watercraft Rentals","jet skis and kayaks lined up along the sand, a small boat anchored just offshore, the whole scene set against a two story resort building shaded by palms. #USVI beach resorts make water toys this accessible, and there's something satisfying about seeing all the gear ready and waiting for someone's next adventure.",,"Jet skis, kayaks, and a small boat lined up on a beach in front of a resort building in the US Virgin Islands",,
images/pin437.png,"Anchored Boats Hillside Homes Wide Bay","boats scattered across a wide bay, red tile roofs and hillside homes rising behind a rocky shoreline. #USVI anchorages like this one show off the range of island living, working boats and pleasure boats sharing the same quiet water without any fuss.",,"Multiple boats anchored in a wide bay with red roofed hillside homes in the background in the US Virgin Islands",,
images/pin438.png,"Seagull Perched on Teal Ferry Sign","this seagull claimed the top of a teal arch like it owned the whole dock, the Captain's Lady III floating patiently below, waiting for its next load of passengers. #USVI wildlife doesn't care much about anyone's schedule, and honestly I respect the confidence.",,"Seagull perched on a teal metal arch above the Captain's Lady III ferry boat at a St John dock",,
images/pin439.png,"Blurred Hillside Villas Waterfront View","soft focus caught this hillside villa mid moment, palm trees swaying, a boat idling just offshore. even a little blurry, #USVI waterfront architecture holds its own, modern lines against all that green. sometimes the imperfect photos end up being my favorites.",,"Soft focus view of a modern white waterfront villa with palm trees and a boat on the water in the US Virgin Islands",,
images/pin440.png,"CAT 5 Dive Boat Anchored Bay","the CAT 5 sat anchored between sailboats, its name painted bold across a hull built for exactly the kind of work these waters call for. #USVI dive and snorkel boats like this one carry a specific kind of promise, reef and wreck and whatever's waiting just under the surface. i always wonder what that particular boat has seen.",,"White CAT 5 dive boat anchored among sailboats in a bay with hillside homes in the US Virgin Islands",,
